LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
135	75	76	48.1	48.4	48.4	48.7	48.5	48.5	48.3	47.6	48.0	47.6	47.7	48.1	47.7	47.6	46.6	48.4	60.8	65.6	140.1	507.6	130.7	148.8	80.3	81.0	52.6	66.7	66.7	66.7	66.7	47.8	66.7	66.7
136	76	77	48.0	48.3	48.1	48.9	49.3	48.5	48.6	47.9	48.0	47.0	48.7	48.5	48.1	47.9	47.4	66.7	48.8	48.9	48.7	50.4	49.1	48.7	48.5	48.4	47.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7
137	67	78	48.5	48.9	49.2	49.2	48.5	48.6	48.2	48.2	47.9	47.8	48.0	47.2	47.3	66.7	48.6	66.7	47.9	48.5	49.1	48.9	48.7	47.9	48.0	48.6	48.0	48.7	47.1	48.2	48.4	66.7	66.7	47.6
138	68	79	48.2	48.2	48.8	48.7	47.9	48.2	47.9	48.1	47.9	48.1	47.9	48.2	48.4	47.6	48.4	48.3	48.6	48.7	48.7	49.0	48.9	48.0	48.3	48.3	47.9	48.5	48.3	46.9	66.7	47.0	46.7	48.8
139	69	80	36.5	38.7	38.5	35.9	35.6	47.2	76.4	124.5	273.2	277.8	36.5	35.3	35.3	35.4	35.4	36.7	35.9	36.2	36.3	107.9	862.1	2000.0	1960.8	2000.0	1098.9	632.9	401.6	35.6	35.1	35.3	37.6	35.3
140	70	81	48.3	48.5	49.0	48.8	48.2	47.7	48.1	47.8	47.8	47.8	47.5	47.9	47.6	47.5	47.6	47.3	48.3	48.5	48.6	48.4	48.4	48.2	48.1	47.8	47.4	47.4	48.1	47.4	47.9	46.0	49.2	46.6
141	71	82	48.2	48.7	49.0	48.2	48.1	47.8	48.5	48.0	47.3	47.6	47.6	47.8	47.7	47.2	47.5	48.1	48.5	48.1	49.1	48.7	48.4	48.4	48.3	48.6	49.0	47.5	47.5	47.9	47.9	46.7	47.6	47.6
142	72	83	36.6	38.4	50.1	36.0	35.9	36.1	35.9	59.1	113.3	892.9	2000.0	1562.5	2000.0	2000.0	2000.0	757.6	35.8	36.0	40.5	39.7	36.2	373.1	2000.0	2000.0	2000.0	2000.0	1785.7	869.6	322.6	83.1	43.5	35.3
143	73	84	47.8	48.5	48.8	48.6	48.1	48.7	48.2	48.1	48.4	48.1	47.7	47.8	47.4	47.6	46.6	48.0	48.6	48.3	48.4	48.2	48.3	47.9	48.1	79.6	885.0	176.7	47.6	47.6	46.6	48.1	47.5	47.4
144	74	85	48.2	49.2	49.0	48.4	47.7	48.0	48.2	48.0	48.1	47.0	47.5	47.6	47.5	47.9	47.8	48.1	48.4	48.2	48.6	48.4	48.1	48.2	48.2	48.0	47.5	47.4	47.6	48.1	47.0	47.9	66.7	46.6
145	75	86	36.5	37.1	37.5	36.9	35.8	36.3	36.1	35.8	35.4	35.4	35.2	35.3	35.6	35.8	35.4	37.0	35.6	35.7	37.5	37.1	36.4	35.9	35.6	35.7	35.1	35.2	35.3	35.4	34.6	39.7	34.5	35.3
146	76	87	48.4	48.3	49.2	49.0	47.7	47.8	48.0	47.8	47.0	47.7	47.1	47.5	47.3	48.0	47.9	47.5	48.1	48.4	48.8	48.4	48.2	47.8	48.1	47.8	47.4	46.6	49.9	47.3	66.7	66.7	66.7	49.8
147	77	88	48.3	49.2	49.2	48.7	48.3	48.2	48.0	48.5	48.1	48.2	48.0	48.9	48.3	48.0	48.2	66.7	48.2	48.6	49.2	48.8	48.1	48.3	48.1	48.5	47.6	66.7	47.5	47.2	66.7	47.3	66.7	66.7
148	78	79	49.0	48.9	48.7	48.2	48.4	48.4	48.8	48.7	48.4	66.7	66.7	66.7	66.7	66.7	66.7	66.7	48.1	48.7	48.9	49.1	48.1	47.9	48.1	47.7	48.5	48.4	48.5	48.0	48.9	48.4	48.4	49.4
