ACCESS	FROM_ID	FROM_TYPE	TO_ID	TO_TYPE	TIME	COST
640	320	PARKING	320	ACTIVITY	0	0
641	321	ACTIVITY	321	PARKING	0	0
642	321	PARKING	321	ACTIVITY	0	0
643	322	ACTIVITY	322	PARKING	0	0
644	322	PARKING	322	ACTIVITY	0	0
645	323	ACTIVITY	323	PARKING	0	0
646	323	PARKING	323	ACTIVITY	0	0
647	324	ACTIVITY	324	PARKING	0	0
648	324	PARKING	324	ACTIVITY	0	0
649	325	ACTIVITY	325	PARKING	0	0
650	325	PARKING	325	ACTIVITY	0	0
651	326	ACTIVITY	326	PARKING	0	0
652	326	PARKING	326	ACTIVITY	0	0
653	327	ACTIVITY	327	PARKING	0	0
654	327	PARKING	327	ACTIVITY	0	0
655	328	ACTIVITY	328	PARKING	0	0
656	328	PARKING	328	ACTIVITY	0	0
657	329	ACTIVITY	329	PARKING	0	0
658	329	PARKING	329	ACTIVITY	0	0
659	330	ACTIVITY	330	PARKING	0	0
660	330	PARKING	330	ACTIVITY	0	0
661	331	ACTIVITY	331	PARKING	0	0
662	331	PARKING	331	ACTIVITY	0	0
663	332	ACTIVITY	332	PARKING	0	0
664	332	PARKING	332	ACTIVITY	0	0
665	333	ACTIVITY	333	PARKING	0	0
666	333	PARKING	333	ACTIVITY	0	0
667	334	ACTIVITY	334	PARKING	0	0
668	334	PARKING	334	ACTIVITY	0	0
669	335	ACTIVITY	335	PARKING	0	0
670	335	PARKING	335	ACTIVITY	0	0
671	336	ACTIVITY	336	PARKING	0	0
672	336	PARKING	336	ACTIVITY	0	0
673	337	ACTIVITY	337	PARKING	0	0
674	337	PARKING	337	ACTIVITY	0	0
675	338	ACTIVITY	338	PARKING	0	0
676	338	PARKING	338	ACTIVITY	0	0
677	339	ACTIVITY	339	PARKING	0	0
678	339	PARKING	339	ACTIVITY	0	0
679	340	ACTIVITY	340	PARKING	0	0
680	340	PARKING	340	ACTIVITY	0	0
681	341	ACTIVITY	341	PARKING	0	0
682	341	PARKING	341	ACTIVITY	0	0
683	342	ACTIVITY	342	PARKING	0	0
684	342	PARKING	342	ACTIVITY	0	0
685	343	ACTIVITY	343	PARKING	0	0
686	343	PARKING	343	ACTIVITY	0	0
687	344	ACTIVITY	344	PARKING	0	0
688	344	PARKING	344	ACTIVITY	0	0
689	345	ACTIVITY	345	PARKING	0	0
690	345	PARKING	345	ACTIVITY	0	0
691	346	ACTIVITY	346	PARKING	0	0
692	346	PARKING	346	ACTIVITY	0	0
693	347	ACTIVITY	347	PARKING	0	0
694	347	PARKING	347	ACTIVITY	0	0
695	348	ACTIVITY	348	PARKING	0	0
696	348	PARKING	348	ACTIVITY	0	0
697	349	ACTIVITY	349	PARKING	0	0
698	349	PARKING	349	ACTIVITY	0	0
699	350	ACTIVITY	350	PARKING	0	0
700	350	PARKING	350	ACTIVITY	0	0
701	351	ACTIVITY	351	PARKING	0	0
702	351	PARKING	351	ACTIVITY	0	0
703	352	ACTIVITY	352	PARKING	0	0
704	352	PARKING	352	ACTIVITY	0	0
705	353	ACTIVITY	353	PARKING	0	0
706	353	PARKING	353	ACTIVITY	0	0
707	354	ACTIVITY	354	PARKING	0	0
708	354	PARKING	354	ACTIVITY	0	0
709	355	ACTIVITY	355	PARKING	0	0
710	355	PARKING	355	ACTIVITY	0	0
711	356	ACTIVITY	356	PARKING	0	0
712	356	PARKING	356	ACTIVITY	0	0
713	357	ACTIVITY	357	PARKING	0	0
714	357	PARKING	357	ACTIVITY	0	0
715	358	ACTIVITY	358	PARKING	0	0
716	358	PARKING	358	ACTIVITY	0	0
717	359	ACTIVITY	359	PARKING	0	0
718	359	PARKING	359	ACTIVITY	0	0
719	360	ACTIVITY	360	PARKING	0	0
720	360	PARKING	360	ACTIVITY	0	0
721	361	ACTIVITY	361	PARKING	0	0
722	361	PARKING	361	ACTIVITY	0	0
723	362	ACTIVITY	362	PARKING	0	0
724	362	PARKING	362	ACTIVITY	0	0
725	363	ACTIVITY	363	PARKING	0	0
726	363	PARKING	363	ACTIVITY	0	0
727	364	ACTIVITY	364	PARKING	0	0
728	364	PARKING	364	ACTIVITY	0	0
729	365	ACTIVITY	365	PARKING	0	0
730	365	PARKING	365	ACTIVITY	0	0
731	366	ACTIVITY	366	PARKING	0	0
732	366	PARKING	366	ACTIVITY	0	0
733	367	ACTIVITY	367	PARKING	0	0
734	367	PARKING	367	ACTIVITY	0	0
735	368	ACTIVITY	368	PARKING	0	0
736	368	PARKING	368	ACTIVITY	0	0
737	369	ACTIVITY	369	PARKING	0	0
738	369	PARKING	369	ACTIVITY	0	0
739	370	ACTIVITY	370	PARKING	0	0
740	370	PARKING	370	ACTIVITY	0	0
741	371	ACTIVITY	371	PARKING	0	0
742	371	PARKING	371	ACTIVITY	0	0
743	372	ACTIVITY	372	PARKING	0	0
744	372	PARKING	372	ACTIVITY	0	0
745	373	ACTIVITY	373	PARKING	0	0
746	373	PARKING	373	ACTIVITY	0	0
747	374	ACTIVITY	374	PARKING	0	0
748	374	PARKING	374	ACTIVITY	0	0
749	375	ACTIVITY	375	PARKING	0	0
750	375	PARKING	375	ACTIVITY	0	0
751	376	ACTIVITY	376	PARKING	0	0
752	376	PARKING	376	ACTIVITY	0	0
753	377	ACTIVITY	377	PARKING	0	0
754	377	PARKING	377	ACTIVITY	0	0
755	378	ACTIVITY	378	PARKING	0	0
756	378	PARKING	378	ACTIVITY	0	0
757	379	ACTIVITY	379	PARKING	0	0
758	379	PARKING	379	ACTIVITY	0	0
759	380	ACTIVITY	380	PARKING	0	0
760	380	PARKING	380	ACTIVITY	0	0
761	381	ACTIVITY	381	PARKING	0	0
762	381	PARKING	381	ACTIVITY	0	0
763	382	ACTIVITY	382	PARKING	0	0
764	382	PARKING	382	ACTIVITY	0	0
765	383	ACTIVITY	383	PARKING	0	0
766	383	PARKING	383	ACTIVITY	0	0
767	384	ACTIVITY	384	PARKING	0	0
768	384	PARKING	384	ACTIVITY	0	0
769	385	ACTIVITY	385	PARKING	0	0
770	385	PARKING	385	ACTIVITY	0	0
771	386	ACTIVITY	386	PARKING	0	0
772	386	PARKING	386	ACTIVITY	0	0
773	387	ACTIVITY	387	PARKING	0	0
774	387	PARKING	387	ACTIVITY	0	0
775	388	ACTIVITY	388	PARKING	0	0
776	388	PARKING	388	ACTIVITY	0	0
777	389	ACTIVITY	389	PARKING	0	0
778	389	PARKING	389	ACTIVITY	0	0
779	390	ACTIVITY	390	PARKING	0	0
780	390	PARKING	390	ACTIVITY	0	0
781	391	ACTIVITY	391	PARKING	0	0
